Date and Time (UTC),Gym Occupancy
2023-10-21 16:0,9
2023-10-21 16:30,11
2023-10-21 17:0,10
2023-10-21 17:30,18
2023-10-21 18:0,19
2023-10-21 18:30,32
2023-10-21 19:0,27
2023-10-21 19:30,24
2023-10-21 20:0,23
2023-10-21 20:30,17
2023-10-21 21:0,12
2023-10-21 21:30,6
2023-10-21 22:0,4
2023-10-21 22:30,10
2023-10-21 23:0,13
2023-10-21 23:30,11
2023-10-22 0:0,9
2023-10-22 0:30,0
2023-10-22 1:0,0
2023-10-22 1:30,0
2023-10-22 11:0,0
2023-10-22 11:30,3
2023-10-22 12:0,3
2023-10-22 12:30,4
2023-10-22 13:0,8
2023-10-22 13:30,12
2023-10-22 14:0,16
2023-10-22 14:30,24
2023-10-22 15:0,21
2023-10-22 15:30,15
2023-10-22 16:0,13
2023-10-22 16:30,9
2023-10-22 17:0,9
2023-10-22 17:30,15
2023-10-22 18:0,23
2023-10-22 18:30,23
2023-10-22 19:0,25
2023-10-22 19:30,29
2023-10-22 20:0,23
2023-10-22 20:30,24
2023-10-22 21:0,19
2023-10-22 21:30,7
2023-10-22 22:0,8
2023-10-22 22:30,16
2023-10-22 23:0,18
2023-10-22 23:30,22
2023-10-23 0:0,18
2023-10-23 0:30,1
2023-10-23 1:0,1
2023-10-23 1:30,1
2023-10-23 11:0,0
2023-10-23 11:30,5
2023-10-23 12:0,11
2023-10-23 12:30,11
2023-10-23 13:0,6
2023-10-23 13:30,4
2023-10-23 14:0,5
2023-10-23 14:30,10
2023-10-23 15:0,15
2023-10-23 15:30,15
2023-10-23 16:0,7
2023-10-23 16:30,5
2023-10-23 17:0,3
2023-10-23 17:30,7
2023-10-23 18:0,6
2023-10-23 18:30,7
2023-10-23 19:0,17
2023-10-23 19:30,24
2023-10-23 20:0,31
2023-10-23 20:30,34
2023-10-23 21:0,34
2023-10-23 21:30,37
2023-10-23 22:0,34
2023-10-23 22:30,32
2023-10-23 23:0,35
2023-10-23 23:30,30
2023-10-24 0:0,28
2023-10-24 0:30,18
2023-10-24 1:0,16
2023-10-24 1:30,11
2023-10-24 18:0,8
2023-10-24 18:30,11
2023-10-24 19:0,24
2023-10-24 19:30,30
2023-10-24 20:0,37
2023-10-24 20:30,45
2023-10-24 21:0,33
2023-10-24 21:30,42
2023-10-24 22:0,45
2023-10-24 22:30,40
2023-10-24 23:0,41
2023-10-24 23:30,38
2023-10-25 0:0,34
2023-10-25 0:30,29
2023-10-25 1:0,17
2023-10-25 1:30,10
2023-10-25 11:0,0
2023-10-25 11:30,8
2023-10-25 12:0,17
2023-10-25 12:30,15
2023-10-25 13:0,12
2023-10-25 13:30,14
2023-10-25 14:0,14
